,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
166,24/04/2020,24,4,2020,29,0,Albania,AL,ALB,2866376.0,Europe
167,23/04/2020,23,4,2020,25,1,Albania,AL,ALB,2866376.0,Europe
168,22/04/2020,22,4,2020,25,0,Albania,AL,ALB,2866376.0,Europe
169,21/04/2020,21,4,2020,22,0,Albania,AL,ALB,2866376.0,Europe
170,20/04/2020,20,4,2020,14,0,Albania,AL,ALB,2866376.0,Europe
171,19/04/2020,19,4,2020,9,0,Albania,AL,ALB,2866376.0,Europe
172,18/04/2020,18,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
173,17/04/2020,17,4,2020,24,1,Albania,AL,ALB,2866376.0,Europe
174,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2866376.0,Europe
175,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2866376.0,Europe
176,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2866376.0,Europe
177,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2866376.0,Europe
178,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
179,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2866376.0,Europe
180,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2866376.0,Europe
181,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2866376.0,Europe
182,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2866376.0,Europe
183,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2866376.0,Europe
184,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2866376.0,Europe
185,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2866376.0,Europe
186,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2866376.0,Europe
187,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2866376.0,Europe
188,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2866376.0,Europe
189,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2866376.0,Europe
190,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
191,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2866376.0,Europe
192,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2866376.0,Europe
193,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2866376.0,Europe
194,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2866376.0,Europe
195,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2866376.0,Europe
196,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2866376.0,Europe
197,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2866376.0,Europe
198,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2866376.0,Europe
199,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2866376.0,Europe
200,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2866376.0,Europe
201,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2866376.0,Europe
202,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2866376.0,Europe
